Date,Name,Group,UFC_cover,MADC_cover
10.12.2020,ICILIFAIRYBOULETTE,Sainfoin,109.1,252.2
10.12.2020,ILIVALABOULETTE,Sainfoin,108.7,251.4
10.12.2020,IENABOULETTE,Sainfoin,108.9,252
10.12.2020,IMBALABOUL,Sainfoin,108.8,249.9
10.12.2020,IRITABELLA,Sainfoin,108.8,250
10.12.2020,ITROPIBOULETTE,Sainfoin,109.1,249.9
10.12.2020,IDOMISSYOUBOULETTE,Sainfoin,109.1,249.3
10.12.2020,IMEETHAPPYBOULETTE,Sainfoin,109.1,248.9
10.12.2020,INECHAIBOUL,Sainfoin,109.1,250.3
10.13.2020,INEBOULETTE,Sainfoin,108.9,252.3
10.13.2020,ICILIFAIRYBOULETTE,Sainfoin,108.9,252.2
10.13.2020,ILIVALABOULETTE,Sainfoin,108.9,252.5
10.13.2020,IENABOULETTE,Sainfoin,108.8,251.8
10.13.2020,IMBALABOUL,Sainfoin,108.8,250
10.13.2020,IRITABELLA,Sainfoin,108.8,249.9
10.13.2020,ITROPIBOULETTE,Sainfoin,108.8,249.1
10.13.2020,IDOMISSYOUBOULETTE,Sainfoin,108.9,249.4
10.13.2020,IMEETHAPPYBOULETTE,Sainfoin,108.8,248.9
10.13.2020,INECHAIBOUL,Sainfoin,109.1,250.2
10.14.2020,INEBOULETTE,Sainfoin,108.9,252.3
10.14.2020,ICILIFAIRYBOULETTE,Sainfoin,108.9,252.2
10.14.2020,ILIVALABOULETTE,Sainfoin,108.9,252.5
10.14.2020,IENABOULETTE,Sainfoin,108.8,251.8
10.14.2020,IMBALABOUL,Sainfoin,108.8,250
10.14.2020,IRITABELLA,Sainfoin,108.8,249.9
10.14.2020,ITROPIBOULETTE,Sainfoin,108.8,249.1
10.14.2020,IDOMISSYOUBOULETTE,Sainfoin,108.9,249.4
10.14.2020,IMEETHAPPYBOULETTE,Sainfoin,108.8,248.9
10.14.2020,INECHAIBOUL,Sainfoin,109.1,250.2
10.15.2020,INEBOULETTE,Sainfoin,108.9,252.3
10.15.2020,ICILIFAIRYBOULETTE,Sainfoin,108.9,252.2
10.15.2020,ILIVALABOULETTE,Sainfoin,108.9,252.5
10.15.2020,IENABOULETTE,Sainfoin,108.8,251.8
10.15.2020,IMBALABOUL,Sainfoin,108.8,250
10.15.2020,IRITABELLA,Sainfoin,108.8,249.9
